abbr	ar	bn	cy	de	en	eo	es	fr	he	hi	in	ja	ko	la	pt	ru	sw	tl	ur	yi	zh	zu
INPUT	مدخل	ইনপুট	MEWNBYNNER	EINGANG	INPUT	ENIGO	APORTE	SAISIR	קֶלֶט	इनपुट	MEMASUKKAN	入力	입력	INPUT	ENTRADA	ВХОД	PEMBEJEO	INPUT	ان پٹ	אַרייַנשרייַב	输入	FAKA
INT	INT	ইন্ট	YN GYFARWYDD	INT	INT	INT	EN T	INT	INT	INT यहाँ	INT	INT	INT	INT	INT	ИНТ	INT	INT	انٹ	ינט	INT	INT
LET	يترك	দিন	GADAWN	LASSEN	LET	LASU	DEJAR	LAISSER	לתת	होने देना	MEMBIARKAN	させて	허락하다	FIAT	DEIXAR	ПОЗВОЛЯТЬ	RUHUSU	HAYAAN	دو	לאָזן	让	VUMELA
LOG	سجل	লগ	LOG	PROTOKOLL	LOG	REGISTRI	REGISTRO	ENREGISTRER	עֵץ	लकड़ी का लट्ठा	CATATAN	ログ	통나무	LOGUS	REGISTRO	БРЕВНО	LOGI	MAG -LOG	لاگ	קלאָץ	日志	UGODO
NEXT	التالي	পরবর্তী	NESAF	NÄCHSTE	NEXT	POSTE	PRÓXIMO	SUIVANT	הַבָּא	अगला	BERIKUTNYA	次	다음	DEINDE	PRÓXIMO	СЛЕДУЮЩИЙ	IFUATAYO	SUSUNOD	اگلے	ווייַטער	下一个	OLANDELAYO
NOT	لا	না	NID	NICHT	NOT	NE	NO	PAS	לֹא	नहीं	BUKAN	いいえ	아니다	NON	NÃO	НЕТ	SIO	HINDI	نہیں	נישט	不是	-I
ON	على	চালু	YMLAEN	AN	ON	ON	EN	SUR	עַל	पर	PADA	の上	에	IN	SOBRE	НА	ON	KAILAN	پر	אַף	在	PHEZU KWA-
OPTION	خيار	বিকল্প	OPSIWN	MÖGLICHKEIT	OPTION	OPCIO	OPCIÓN	OPTION	אוֹפְּצִיָה	विकल्प	PILIHAN	オプション	옵션	OPTIO	OPÇÃO	ВАРИАНТ	CHAGUO	PAGPIPILIAN	آپشن	בריירע	选项	UKUKHETHA
OR	أو	বা	NEU	ODER	OR	AŬ	O	OU	אוֹ	या	ATAU	また	또는	VEL	OU	ИЛИ	AU	O	یا	אָדער	或者	NOMA
PRINT	مطبعة	ছাপা	BRINTIWYD	DRUCKEN	PRINT	PRESI	IMPRIMIR	IMPRIMER	הדפס	प्रिंट	MENCETAK	印刷	인쇄	PRINT	IMPRIMIR	РАСПЕЧАТАТЬ	CHAPISHA	I -PRINT	پرنٹ کریں	פאַרקויפט	打印	CINDEZELA
RANDOMIZE	عشوائي	এলোমেলোভাবে	AR HAP	RANDOMISIEREN	RANDOMIZE	HAZARDA	ALEATORIZAR	RANDOMISER	אקראי	अनियमित	MENGACAK	ランダム化	무작위 화	RANDOMIZE	ALEATÓRIA	РАНДОМИЗИРОВАТЬ	BILA MPANGILIO	RANDOMIZE	بے ترتیب	ראַנדאַמייז	随机化	PHUNGULA
RAT	فأر	ইঁদুর	LLYGODEN	RATTE	RAT	RATO	RATA	RAT	עכברוש	चूहा	TIKUS	ねずみ	쥐	RAT	RATO	КРЫСА	PANYA	DAGA	چوہا	שטשור	鼠	IGUNDANE
READ	يقرأ	পড়ুন	DARLLENEST	LESEN	READ	LEGU	LEER	LIRE	לקרוא	पढ़ना	MEMBACA	読む	읽다	LEGERE	LER	ЧИТАТЬ	SOMA	BASAHIN	پڑھیں	לייענען	读	FUNDA
REM	ريم	রেম	REM	REM	REM	REM	MOVIMIENTO RÁPIDO DEL OJO	REMORQUEUR	REM	निकाल देना	REM	REM	REM	REM	REM	РЕМ	REM	REM	ریم	רעמאַוועס	REM	THUMA
RESTORE	يعيد	পুনরুদ্ধার	HATGYWEIRIFF	WIEDERHERSTELLEN	RESTORE	RESTAŬRI	RESTAURAR	RESTAURER	לשחזר	पुनर्स्थापित करना	MEMULIHKAN	戻す	복원하다	RESTITUO	RESTAURAR	ВОССТАНОВИТЬ	REJESHA	IBALIK	بحال کریں	ריוויינד	恢复	KHUZA
RETURN	يعود	প্রত্যাবর্তন	DDYCHWELO	ZURÜCKKEHREN	RETURN	REVENU	DEVOLVER	RETOUR	לַחֲזוֹר	वापस करना	KEMBALI	戻る	반품	REDITUS	RETORNAR	ВОЗВРАЩАТЬСЯ	KURUDI	BUMALIK	واپس	ומקערן	返回	BUYISELA EMUVA
RND	RND	RND	RND	RND	RND	RND	RND	RND	RND	राउंड	RND	RND	RND	RND	RND	RND	RND	RND	RND	RND	RND	RND
SGN	SGN	এসজিএন	SGN	SGN	SGN	SGN	SGN	SGN	SGN	एसजीएन	SGN	SGN	SGN	SGN	SGN	СНОГСШИБАТЕЛЬНЫЙ	SGN	SGN	SGN	SGN	SGN	ISGN
SIN	الخطيئة	পাপ	BECHODD	SÜNDE	SIN	PEKO	PECADO	PÉCHÉ	חטא	पाप	DOSA	罪	죄	PECCATUM	PECADO	ГРЕХ	DHAMBI	KASALANAN	گناہ	זינד	罪	UKONA
SQR	SQR	এসকিউআর	SQR	SQR	SQR	SQR	SQR	SQR	SQR	दूसरी तिमाही समीक्षा	SQR	SQR	SQR	SQR	SQR	SQR	SQR	SQR	SQR	סקר	SQR	I-SQR
STEP	خطوة	পদক্ষেপ	CAMOCH	SCHRITT	STEP	PAŜO	PASO	MARCHER	שלב	कदम	MELANGKAH	ステップ	단계	GRADUS	ETAPA	ШАГ	HATUA	HAKBANG	مرحلہ	טרעפּל	步	GXATHA
STOP	قف	থামুন	ARHOSWCH	STOPPEN	STOP	ĈESU	DETENER	ARRÊT	תפסיק	रुकना	BERHENTI	ストップ	멈추다	PROHIBERE	PARAR	ОСТАНАВЛИВАТЬСЯ	ACHA	HUMINTO	بند کرو	אָפּשטעל	停止	IMA
STR	شارع	স্ট্র	STRYD	STR	STR	STR	STRI	STR	STR	एसटीआर	STR	STR	STR	STRO	STR	СТР	STR	STR	STR	STR	STR	NTRLD
TAB	فاتورة غير مدفوعة	ট্যাব	TAB	TAB	TAB	LANGETO	PESTAÑA	LANGUETTE	כרטיסייה	टैब	TAB	タブ	탭	TAB	ABA	ВКЛАДКА	TAB	TAB	ٹیب	קוויטל	标签	ITHEBHU KAFUSHANE
TAN	تان	ট্যান	BARCIANT	BRÄUNEN	TAN	TAN	BRONCEARSE	BRONZER	לְהִשְׁתַזֵף	टैन	TAN	日焼け	탠 껍질	TAN	BRONZEADO	ЗАГАР	TAN	KULAY-BALAT	ٹین	בעזש	棕褐色	UMBALA ONSUNDU
THEN	ثم	তারপর	YNA	DANN	THEN	TIAM	ENTONCES	ALORS	לאחר מכן	तब	KEMUDIAN	それから	그 다음에	TUM	ENTÃO	ЗАТЕМ	BASI	PAGKATAPOS	پھر	ווי	然后	KHONA-
TO	ل	প্রতি	I	ZU	TO	AL	A	JUSQU'À	ל	को	KE	に	에게	UT	PARA	К	KWA	SA	TO	צו	到	KWA-
																						
AND NO LANGUAGE GIVEN ON COMMAND LINE.  EXITING.	ولا توجد لغة ممنوحة على سطر الأوامر. الخروج.	এবং কমান্ড লাইনে কোনও ভাষা দেওয়া হয়নি। প্রস্থান করা।	A DIM IAITH A RODDIR AR LINELL ORCHYMYN. GADAEL.	UND KEINE SPRACHE IN DER BEFEHLSZEILE ANGEGEBEN. AUSGEHEN.	AND NO LANGUAGE GIVEN ON COMMAND LINE.  EXITING.	KAJ NENIU LINGVO DONITA SUR KOMANDLINIO. ELIRANTE.	Y NO HAY LENGUAJE DADO EN LA LÍNEA DE COMANDOS. SALIENDO.	ET AUCUNE LANGUE DONNÉE SUR LA LIGNE DE COMMANDE. SORTANT.	ושום שפה ניתנת בשורת הפקודה. יציאה.	और कमांड लाइन पर कोई भाषा नहीं दी गई है। बाहर निकलना।	DAN TIDAK ADA BAHASA YANG DIBERIKAN PADA BARIS PERINTAH. KELUAR.	コマンドラインには言語が与えられていません。終了。	그리고 명령 줄에는 언어가 없습니다. 종료.	ET NON LINGUAM DEDIT IN ORDER VERSUS. EXIVIT.	E NENHUM IDIOMA DADO NA LINHA DE COMANDO. SAINDO.	И НЕТ ЯЗЫКА, НЕ УКАЗАННОГО В КОМАНДНОЙ СТРОКЕ. ВЫХОД.	NA HAKUNA LUGHA ILIYOPEWA KWENYE MSTARI WA AMRI. KUTOKA.	AT WALANG WIKANG IBINIGAY SA LINYA NG UTOS. PAGLABAS.	اور کمانڈ لائن پر کوئی زبان نہیں دی گئی۔ باہر نکلنا۔	און קיין שפּראַך געגעבן אויף באַפֿעלן שורה. אַרויסגאַנג.	并且没有命令行上给出的语言。退出。	FUTHI ALUKHO ULIMI OLUNIKEZWE KULAYINI WOMYALO. UKUPHUMA.
ARRAY ALREADY DEFINED	صفيف محدد بالفعل	অ্যারে ইতিমধ্যে সংজ্ঞায়িত	ARAE EISOES WEDI'I DIFFINIO	ARRAY BEREITS DEFINIERT	ARRAY ALREADY DEFINED	TABELO JAM DIFINITA	MATRIZ YA DEFINIDA	TABLEAU DÉJÀ DÉFINI	מערך כבר מוגדר	सरणी पहले से ही परिभाषित है	ARRAY SUDAH DITENTUKAN	すでに定義されている配列	배열은 이미 정의되었습니다	ORDINATA IAM DEFINED	ARRAY JÁ DEFINIDO	МАССИВ УЖЕ ОПРЕДЕЛЕН	SAFU TAYARI IMEELEZEWA	NATUKOY NA ANG ARRAY	سرنی پہلے ہی بیان کی گئی ہے	מענגע שוין דיפיינד	数组已经定义	I-ARRAY ISIVELE ICHAZIWE
ARRAY INDEX OUT OF BOUNDS	مؤشر مجموعة خارج الحدود	সীমা ছাড়িয়ে সূচক অ্যারে	MYNEGAI ARAE ALLAN O FFINIAU	ARRAY-INDEX AUSSERHALB DER GRENZEN	ARRAY INDEX OUT OF BOUNDS	ARRAY -INDEKSO EKSTER LIMOJ	ÍNDICE DE MATRIZ FUERA DE LOS LÍMITES	INDEX DU TABLEAU HORS LIMITES	מערך אינדקס מחוץ לתחום	सीमा से बाहर सरणी सूचकांक	INDEKS ARRAY DI LUAR BATAS	範囲外の配列インデックス	배열 인덱스 외부	ORDINATA INDEX DE TERMINIS	ÍNDICE DE MATRIZ FORA DOS LIMITES	МАССИВ ИНДЕКС ВНЕ ГРАНИЦ	SAFU YA SAFU NJE YA MIPAKA	ARRAY INDEX SA LABAS NG MGA HANGGANAN	حد سے باہر سرنی انڈیکس	מענגע אינדעקס אויס פון גווול	阵列索引范围	I-ARRAY INDEX NGAPHANDLE KWEMINGCELE
ARRAY INDEX SIZE MISMATCH	عدم تطابق حجم مؤشر الصفيف	অ্যারে সূচক আকারের অমিল	CAMGYMHARIAD MAINT MYNEGAI ARRAY	NICHTÜBEREINSTIMMUNG DER ARRAY -INDEXGRÖSSE	ARRAY INDEX SIZE MISMATCH	ARRAY INDEX SIZE MISMATCH	NO COINCIDENCIA DEL TAMAÑO DEL ÍNDICE DE MATRIZ	DÉFECTIONNEMENT DE LA TAILLE DE L'INDICE DU TABLEAU	מערך אינדקס חוסר התאמה בגודל	सरणी सूचकांक बेमेल	ARRAY INDEKS UKURAN KETIDAKCOCOKAN	配列インデックスサイズの不一致	배열 인덱스 크기 불일치	INDEX SIZE MISMATCH	MISMITCH DE TAMANHO DE ÍNDICE DE MATRIZ	НЕСООТВЕТСТВИЕ РАЗМЕРА МАССИВА	ARRAY INDEX SIZE MISMATCH	ARRAY INDEX SIZE MISMATCH	سرنی انڈیکس سائز مماثل	מענגע אינדעקס גרייס מיסמאַטש	阵列索引尺寸不匹配	I-ARRAY INDEX USAYIZI MISMATCH
ARRAY SUBSCRIPT NOT A NUMBER	مجموعة مجموعة الصفيف ليست رقم	অ্যারে সাবস্ক্রিপ্ট একটি সংখ্যা নয়	TANYSGRIFIAD ARRAY NID RHIF	ARRAY -INDEX NICHT EINE NUMMER	ARRAY SUBSCRIPT NOT A NUMBER	ARRAY SUBSCRIPT NE NOMBRO	SUBÍNDICE DE MATRIZ NO ES UN NÚMERO	INDICE DU TABLEAU PAS UN NUMÉRO	מערך מנוי לא מספר	सरणी सबस्क्रिप्ट एक संख्या नहीं है	ARRAY SUBSCRIPT BUKAN ANGKA	数字ではなく、SUBSCRIPT	배열 첨자 숫자가 아닙니다	ARRAY SUBSCRIPT NON EST NUMERUS	SUBSCRITO DE ARRAY, NÃO UM NÚMERO	МАССИВСКИЙ ИНДЕКС, А НЕ ЧИСЛО	ARRAY USAJILI SIO NAMBARI	ARRAY SUBSCRIPT HINDI ISANG NUMERO	سرنی سبسکرپٹ ایک نمبر نہیں	מענגע סאַבסקריפּט ניט אַ נומער	阵列下标不是数字	I-ARRAY BUBSCRICRICRICRY HHAYI INOMBOLO
ARRAY USED AS VARIABLE	ARRAY المستخدمة كمتغير	ভেরিয়েবল হিসাবে ব্যবহৃত অ্যারে	ARAE A DDEFNYDDIR FEL AMRYWIOL	ARRAY ALS VARIABEL VERWENDET	ARRAY USED AS VARIABLE	TABELO UZATA KIEL VARIABLO	MATRIZ UTILIZADA COMO VARIABLE	TABLEAU UTILISÉ COMME VARIABLE	מערך המשמש כמשתנה	चर के रूप में उपयोग किया जाता है	ARRAY DIGUNAKAN SEBAGAI VARIABEL	変数として使用される配列	변수로 사용되는 배열	ORDINATA USUS EST VARIABILIS	ARRAY USADO COMO VARIÁVEL	МАССИВ, ИСПОЛЬЗУЕМЫЙ В КАЧЕСТВЕ ПЕРЕМЕННОЙ	SAFU INAYOTUMIKA KAMA KUTOFAUTISHA	ARRAY NA GINAMIT BILANG VARIABLE	سرنی متغیر کے طور پر استعمال ہوتا ہے	מענגע געוויינט ווי בייַטעוודיק	数组用作变量	I-ARRAY ISETSHENZISWE NJENGOKUHLUKAHLUKA
CANNOT ACCESS DIRECTORY	لا يمكن الوصول إلى الدليل	ডিরেক্টরি অ্যাক্সেস করতে পারে না	METHU CYRCHU CYFEIRIADUR	KANN NICHT AUF VERZEICHNIS ZUGREIFEN	CANNOT ACCESS DIRECTORY	NE POVAS ALIRI DOSIERUJON	NO SE PUEDE ACCEDER AL DIRECTORIO	IMPOSSIBLE D'ACCÉDER AU RÉPERTOIRE	לא ניתן לגשת לספריה	एक्सेस डायरेक्टरी नहीं कर सकते	TIDAK DAPAT MENGAKSES DIREKTORI	ディレクトリにアクセスできません	디렉토리에 액세스 할 수 없습니다	POTEST OBVIUS DIRECTORY	NÃO É POSSÍVEL ACESSAR O DIRETÓRIO	НЕ МОЖЕТ ПОЛУЧИТЬ ДОСТУП К КАТАЛОГУ	HAIWEZI KUFIKIA SARAKA	HINDI MA -ACCESS ANG DIREKTORYO	ڈائریکٹری تک رسائی حاصل نہیں کرسکتی ہے	קען נישט צוטריט וועגווייַזער	无法访问目录	AYIKWAZI UKUFINYELELA UMKHOMBANDLELA
CANNOT ASSIGN TO DEFINITION	لا يمكن تعيين التعريف	সংজ্ঞা নির্ধারণ করতে পারে না	NI ALL ASEINIO I DDIFFINIAD	DEFINITION KANN NICHT ZUWEISEN	CANNOT ASSIGN TO DEFINITION	NE POVAS ATRIBUI AL DIFINO	NO SE PUEDE ASIGNAR A LA DEFINICIÓN	IMPOSSIBLE D'ATTRIBUER À LA DÉFINITION	לא ניתן להקצות להגדרה	परिभाषा को असाइन नहीं कर सकते	TIDAK DAPAT MENETAPKAN DEFINISI	定義に割り当てることはできません	정의에 할당 할 수 없습니다	NON ASSIGN AD DEFINITIONEM	NÃO PODE ATRIBUIR À DEFINIÇÃO	НЕ МОЖЕТ НАЗНАЧИТЬ ОПРЕДЕЛЕНИЕ	HAIWEZI KUGAWA UFAFANUZI	HINDI MAAARING MAGTALAGA SA KAHULUGAN	تعریف کو تفویض نہیں کرسکتے ہیں	קענען ניט באַשטימען צו דעפֿיניציע	无法分配给定义	AYIKWAZI UKWABELA INCAZELO
CANNOT ASSIGN TO FUNCTION	لا يمكن تعيين الوظيفة	ফাংশন বরাদ্দ করতে পারে না	NI ALL ASEINIO I WEITHREDU	DIE FUNKTION KANN NICHT ZUWEISEN	CANNOT ASSIGN TO FUNCTION	NE POVAS ATRIBUI FUNKCION	NO SE PUEDE ASIGNAR A LA FUNCIÓN	IMPOSSIBLE D'ATTRIBUER À LA FONCTION	לא ניתן להקצות לפונקציה	कार्य करने के लिए असाइन नहीं कर सकते	TIDAK DAPAT MENETAPKAN FUNGSI	機能に割り当てることはできません	기능에 할당 할 수 없습니다	POTEST ASSIGN MUNUS	NÃO É POSSÍVEL ATRIBUIR À FUNÇÃO	НЕ МОЖЕТ НАЗНАЧИТЬ ФУНКЦИЮ	HAIWEZI KUGAWA KUFANYA KAZI	HINDI MAAARING MAGTALAGA UPANG GUMANA	کام کرنے کے لئے تفویض نہیں کرسکتے ہیں	קענען ניט באַשטימען צו פונקציע	无法分配功能	AYIKWAZI UKWABELA UKUSEBENZA
DATA INPUT UNDERFLOW	إدخال البيانات UNDERFLOW	ডেটা ইনপুট আন্ডারফ্লো	TAN -LIF MEWNBWN DATA	DATENEINGANGSUNTERLAUF	DATA INPUT UNDERFLOW	DATUMA ENIGA SUBFLUO	INGRESOS DE DATOS SUBFLOGO	SOUS-BALLABLE D'ENTRÉE DE DONNÉES	זרימת קלט נתונים	आंकड़ा इनपुट अंडरफ्लो	INPUT DATA UNDERFLOW	データ入力アンダーフロー	데이터 입력 언더 플로우	DATA INPUT UNDERFLOW	ENTRADA DE DADOS SUBFLUENTE	ВВОД ДАННЫХ В НИЖНЕМ ПОТОКЕ	UINGIZAJI WA DATA UNDERFER	DATA INPUT UNDERFLOW	ڈیٹا ان پٹ انڈر فلو	דאַטן אַרייַנשרייַב אַנדערפלאָו	数据输入下流	UKUFAKWA KWEDATHA OKUNGEKHO EMTHETHWENI
DATA READ UNDERFLOW	قراءة البيانات UNDERFLOW	ডেটা আন্ডারফ্লো রিড	DATA DARLLEN TANLIF	DATEN LESEN UNTERLAUF	DATA READ UNDERFLOW	DATUMOJ LEGU SUBFLUON	DATOS LEÍDOS BAJO FLUJO	DONNÉES LUS SOUS-PLEIN	נתונים קראו את הזרימה	डेटा पढ़ें अंडरफ्लो	DATA BACA UNDERFLOW	データはアンダーフローを読みます	데이터를 읽습니다	DATA READ UNDERFLOW	DADOS LEIA O SUBFLUXO	ДАННЫЕ ПРОЧИТАЛИ НЕДОСТАТОК	TAKWIMU ZILIZOSOMWA	BASAHIN ANG DATA NG UNDERFLOW	ڈیٹا انڈر فلو پڑھتا ہے	דאַטן לייענען אַנדערפלאָו	数据读取底流	IDATHA IFUNDWE NGAPHANSI
DEFINITION CYCLE DISCOVERED	تم اكتشاف دورة التعريف	সংজ্ঞা চক্র আবিষ্কার	CYLCH DIFFINIAD WEDI'I DDARGANFOD	DEFINITIONSZYKLUS ENTDECKT	DEFINITION CYCLE DISCOVERED	DIFINA CIKLO MALKOVRITA	CICLO DE DEFINICIÓN DESCUBIERTO	CYCLE DE DÉFINITION DÉCOUVERT	מחזור ההגדרה התגלה	परिभाषा चक्र की खोज की गई	SIKLUS DEFINISI DITEMUKAN	定義サイクルが発見されました	정의주기가 발견되었습니다	DEFINITIO EXOLVUNTUR INVENTA	CICLO DE DEFINIÇÃO DESCOBERTO	ЦИКЛ ОПРЕДЕЛЕНИЯ ОБНАРУЖЕНО	MZUNGUKO WA UFAFANUZI UMEGUNDULIWA	NATUKLASAN ANG KAHULUGAN NG CYCLE	تعریف سائیکل دریافت ہوا	דעפֿיניציע ציקל דיסקאַווערד	发现定义周期	UKUCHAZWA KOMJIKELEZO KUTHOLAKELE
ERROR	خطأ	ত্রুটি	WALLAU	FEHLER	ERROR	ERARO	ERROR	ERREUR	שְׁגִיאָה	गलती	KESALAHAN	エラー	오류	ERROR	ERRO	ОШИБКА	KOSA	ERROR	غلطی	גרייַז	错误	UKUPHAMBEKA
FAILURE	فشل	ব্যর্থতা	METHIANNAU	VERSAGEN	FAILURE	MALSUKCESO	FALLA	ÉCHEC	כישלון	असफलता	KEGAGALAN	失敗	실패	DEFECTUM	FALHA	ОТКАЗ	KUSHINDWA	PAGKABIGO	ناکامی	דורכפאַל	失败	PHAPHALAZA
FUNCTION DEFINITION MULTIPLY DEFINED	تعريف الوظيفة المحددة محددة	ফাংশন সংজ্ঞা গুণিত সংজ্ঞায়িত	DIFFINIAD SWYDDOGAETH LLUOSI WEDI'I DDIFFINIO	FUNKTIONSDEFINITION MULTIPLIZIERT DEFINIERT	FUNCTION DEFINITION MULTIPLY DEFINED	FUNKCIA DIFINO MULTOBLIĜAS DIFINITA	DEFINICIÓN DE FUNCIÓN MULTIPLICAR DEFINIDA	DÉFINITION DE FONCTION MULTIPLISE DÉFINIE	הגדרת פונקציה כפול מוגדרת	फ़ंक्शन परिभाषा गुणा परिभाषित	DEFINISI FUNGSI DIKALIKAN DIDEFINISIKAN	関数定義が定義されているのを掛けています	함수 정의 곱하기 정의	FUNCTION DEFINITIONE DEFINITUR	DEFINIÇÃO DE FUNÇÃO MULTIPLICADA	ОПРЕДЕЛЕНИЕ ФУНКЦИИ УМНОЖЕННОЕ ОПРЕДЕЛЕНО	UFAFANUZI WA KAZI UMEFAFANULIWA	ANG KAHULUGAN NG PAG -ANDAR AY DUMARAMI NA TINUKOY	فنکشن کی تعریف ضرب کی وضاحت	פונקציע דעפֿיניציע מערן דיפיינד	功能定义乘以定义	UKUCHAZWA KOMSEBENZI OKUCHAZWE KANINGI
FUNCTION DEFINITION PARAMETER MISMATCH	تعريف وظيفة عدم تطابق المعلمة	ফাংশন সংজ্ঞা প্যারামিটার অমিল	CAMGYMHARIAD PARAMEDR DIFFINIAD SWYDDOGAETH	FUNKTIONSDEFINITION PARAMETER FEHLANPASSUNG	FUNCTION DEFINITION PARAMETER MISMATCH	FUNKCIA DIFINA PARAMETRO MALSUKCESA	INCENTUADOR DE PARÁMETROS DE DEFINICIÓN DE FUNCIÓN	DÉFINITION DE DÉFINITION DE LA FONCTION DÉLIACHANCE	הגדרת פונקציה חוסר התאמה של פרמטר	समारोह परिभाषा पैरामीटर बेमेल	KETIDAKSESUAIAN PARAMETER DEFINISI FUNGSI	関数定義パラメーターの不一致	함수 정의 매개 변수 불일치	FUNCTION DEFINITIO PARAMETCH MISMATCH	FUNÇÃO DEFINIÇÃO PARÂMETRO INDATCH	ОПРЕДЕЛЕНИЕ ФУНКЦИИ НЕСООТВЕТСТВИЕ ПАРАМЕТРОВ	UFAFANUZI WA KAZI YA PARAMU	PAG -ANDAR NG KAHULUGAN NG FUNCTION NA MISMATCH	فنکشن ڈیفینیشن پیرامیٹر مماثل	פונקציע דעפֿיניציע פּאַראַמעטער מיסמאַטש	功能定义参数不匹配	UMSEBENZI WOKUCHAZA UPHARAMITHA MISMATCH
GOSUB STACK OVERFLOW	GOSUB STACK OVERFLOW	গোসব স্ট্যাক ওভারফ্লো	GORLIF PENTWR GOSUB	GOSUB STACK OVERFLOW	GOSUB STACK OVERFLOW	GOSUB -STAKO SUPERFLUAS	DESBORDAMIENTO DE LA PILA GOSUB	GOSUB STACK OVERFLOW	הצפת ערימה של GOSUB	गोसुब स्टैक ओवरफ्लो	GOSUB STACK OVERFLOW	GOSUBスタックオーバーフロー	GOSUB 스택 오버플로	GESSECTUS AMCFERO	GOSUB STACK OVERFLOW	ГОСУБ СТЕК ПЕРЕПОЛНЕН	GOSUB STACK KUFURIKA	OVERFLOW NG GOSUB STACK	گوسب اسٹیک اوور فلو	גאָסוב אָנלייגן אָוווערפלאָו	GOSUB堆栈溢出	I-GOSUB STACK IYACHICHIMA
